merchant_id,merchant_category,merchant_city,merchant_risk_score
M20723,Fashion,Bengaluru,0.083
M20724,Grocery,Mumbai,0.238
M20725,Jewellery,Delhi,0.402
M20726,Fashion,Mumbai,0.201
M20727,Fashion,Noida,0.053
M20728,Utilities,Hyderabad,0.063
M20729,Electronics,Indore,0.262
M20730,Electronics,Pune,0.259
M20731,Utilities,Mumbai,0.115
M20732,Food Delivery,Delhi,0.108
M20733,Electronics,Chennai,0.261
M20734,Grocery,Mumbai,0.099
M20735,Utilities,Pune,0.081
M20736,Electronics,Kanpur,0.226
M20737,Travel,Bengaluru,0.285
M20738,Electronics,Lucknow,0.254
M20739,Fashion,Noida,0.155
M20740,Grocery,Delhi,0.167
M20741,Grocery,Hyderabad,0.231
M20742,Food Delivery,Bengaluru,0.141
M20743,Food Delivery,Bengaluru,0.042
M20744,Electronics,Mumbai,0.267
M20745,Electronics,Delhi,0.357
M20746,Utilities,Jaipur,0.07
M20747,Travel,Kanpur,0.277
M20748,Food Delivery,Bengaluru,0.157
M20749,Electronics,Mumbai,0.248
M20750,Food Delivery,Ahmedabad,0.205
M20751,Fashion,Kolkata,0.179
M20752,Electronics,Bengaluru,0.279
M20753,Food Delivery,Lucknow,0.113
M20754,Grocery,Ahmedabad,0.047
M20755,Grocery,Mumbai,0.064
M20756,Travel,Chennai,0.194
M20757,Fashion,Delhi,0.262
M20758,Utilities,Delhi,0.127
M20759,Electronics,Bengaluru,0.235
M20760,Grocery,Delhi,0.183
M20761,Grocery,Lucknow,0.161
M20762,Utilities,Hyderabad,0.051
M20763,Healthcare,Kanpur,0.124
M20764,Jewellery,Chennai,0.369
M20765,Jewellery,Pune,0.446
M20766,Healthcare,Pune,0.122
M20767,Digital Services,Delhi,0.231
M20768,Fashion,Mumbai,0.104
M20769,Gaming,Bengaluru,0.337
M20770,Grocery,Kolkata,0.122
M20771,Healthcare,Kanpur,0.159
M20772,Grocery,Delhi,0.128
M20773,Gaming,Mumbai,0.382
M20774,Fashion,Lucknow,0.126
M20775,Food Delivery,Bengaluru,0.031
M20776,Utilities,Delhi,0.02
M20777,Travel,Mumbai,0.227
M20778,Digital Services,Delhi,0.215
M20779,Fashion,Mumbai,0.154
M20780,Food Delivery,Kolkata,0.153
M20781,Healthcare,Mumbai,0.128
M20782,Food Delivery,Ahmedabad,0.02
M20783,Food Delivery,Kolkata,0.236
M20784,Fashion,Mumbai,0.178
M20785,Utilities,Chandigarh,0.093
M20786,Fashion,Indore,0.153
M20787,Electronics,Gurugram,0.267
M20788,Grocery,Delhi,0.15
M20789,Fashion,Kolkata,0.116
M20790,Electronics,Hyderabad,0.294
M20791,Digital Services,Bengaluru,0.318
M20792,Food Delivery,Hyderabad,0.129
M20793,Digital Services,Kolkata,0.273
M20794,Gaming,Mumbai,0.277
M20795,Healthcare,Hyderabad,0.137
M20796,Grocery,Gurugram,0.117
M20797,Gaming,Pune,0.335
M20798,Grocery,Noida,0.132
M20799,Grocery,Mumbai,0.049
M20800,Grocery,Pune,0.181
M20801,Food Delivery,Kolkata,0.25
M20802,Gaming,Bengaluru,0.313
M20803,Electronics,Mumbai,0.333
M20804,Jewellery,Mumbai,0.394
M20805,Digital Services,Chennai,0.195
M20806,Utilities,Delhi,0.138
M20807,Food Delivery,Mumbai,0.107
M20808,Food Delivery,Lucknow,0.148
M20809,Fashion,Jaipur,0.246
M20810,Travel,Ahmedabad,0.264
M20811,Grocery,Chennai,0.109
M20812,Digital Services,Chennai,0.207
M20813,Food Delivery,Chennai,0.077
M20814,Fashion,Jaipur,0.154
M20815,Electronics,Kolkata,0.263
M20816,Fashion,Delhi,0.191
M20817,Grocery,Bengaluru,0.051
M20818,Utilities,Kolkata,0.045
M20819,Utilities,Chennai,0.073
M20820,Utilities,Gurugram,0.084
M20821,Gaming,Bengaluru,0.343
M20822,Jewellery,Ahmedabad,0.391
M20823,Electronics,Ahmedabad,0.245
M20824,Food Delivery,Ahmedabad,0.146
M20825,Food Delivery,Kolkata,0.173
M20826,Digital Services,Kanpur,0.264
M20827,Fashion,Jaipur,0.134
M20828,Electronics,Lucknow,0.194
M20829,Grocery,Hyderabad,0.175
M20830,Digital Services,Mumbai,0.242
M20831,Electronics,Chennai,0.339
M20832,Grocery,Chennai,0.174
M20833,Jewellery,Noida,0.436
M20834,Digital Services,Kolkata,0.293
M20835,Food Delivery,Jaipur,0.159
M20836,Electronics,Kolkata,0.27
M20837,Travel,Kolkata,0.188
M20838,Grocery,Noida,0.136
M20839,Grocery,Mumbai,0.031
M20840,Travel,Kanpur,0.222
M20841,Healthcare,Jaipur,0.071
M20842,Grocery,Chandigarh,0.126
M20843,Food Delivery,Mumbai,0.13
M20844,Fashion,Lucknow,0.131
M20845,Grocery,Delhi,0.081
M20846,Electronics,Mumbai,0.368
M20847,Grocery,Delhi,0.065
M20848,Electronics,Delhi,0.272
M20849,Fashion,Bengaluru,0.186
M20850,Grocery,Noida,0.103
M20851,Fashion,Kolkata,0.187
M20852,Grocery,Pune,0.149
M20853,Grocery,Kanpur,0.165
M20854,Utilities,Kanpur,0.082
M20855,Utilities,Indore,0.098
M20856,Fashion,Kanpur,0.169
M20857,Digital Services,Lucknow,0.21
M20858,Electronics,Mumbai,0.289
M20859,Utilities,Pune,0.02
M20860,Travel,Hyderabad,0.257
M20861,Fashion,Mumbai,0.064
M20862,Electronics,Mumbai,0.235
M20863,Electronics,Hyderabad,0.318
M20864,Gaming,Gurugram,0.361
M20865,Grocery,Hyderabad,0.099
M20866,Jewellery,Jaipur,0.38
M20867,Electronics,Delhi,0.241
M20868,Travel,Delhi,0.214
M20869,Fashion,Lucknow,0.191
M20870,Digital Services,Bengaluru,0.239
M20871,Grocery,Kolkata,0.02
M20872,Fashion,Mumbai,0.105
M20873,Gaming,Mumbai,0.303
M20874,Electronics,Hyderabad,0.268
M20875,Food Delivery,Pune,0.107
M20876,Grocery,Mumbai,0.052
M20877,Jewellery,Jaipur,0.428
M20878,Healthcare,Mumbai,0.02
M20879,Grocery,Kolkata,0.066
M20880,Utilities,Kolkata,0.115
M20881,Grocery,Hyderabad,0.124
M20882,Digital Services,Hyderabad,0.238
M20883,Grocery,Mumbai,0.142
M20884,Fashion,Chennai,0.172
M20885,Healthcare,Bengaluru,0.103
M20886,Electronics,Delhi,0.307
M20887,Digital Services,Mumbai,0.268
M20888,Gaming,Pune,0.4
M20889,Travel,Lucknow,0.228
M20890,Grocery,Mumbai,0.089
M20891,Gaming,Ahmedabad,0.349
M20892,Food Delivery,Chennai,0.121
M20893,Fashion,Mumbai,0.244
M20894,Fashion,Chennai,0.184
M20895,Food Delivery,Lucknow,0.087
M20896,Fashion,Indore,0.093
M20897,Gaming,Hyderabad,0.411
M20898,Travel,Hyderabad,0.223
M20899,Digital Services,Bengaluru,0.265
M20900,Food Delivery,Hyderabad,0.119
M20901,Grocery,Chennai,0.136
M20902,Digital Services,Mumbai,0.225
M20903,Digital Services,Kolkata,0.255
M20904,Digital Services,Bengaluru,0.225
M20905,Fashion,Kolkata,0.285
M20906,Fashion,Pune,0.126
M20907,Grocery,Kanpur,0.125
M20908,Jewellery,Bengaluru,0.528
M20909,Gaming,Gurugram,0.389
M20910,Electronics,Kolkata,0.279
M20911,Electronics,Pune,0.288
M20912,Jewellery,Pune,0.363
M20913,Fashion,Delhi,0.236
M20914,Food Delivery,Mumbai,0.11
M20915,Grocery,Pune,0.097
M20916,Grocery,Noida,0.06
M20917,Fashion,Lucknow,0.146
M20918,Electronics,Mumbai,0.283
M20919,Electronics,Bengaluru,0.329
M20920,Fashion,Chennai,0.172
M20921,Electronics,Chennai,0.329
M20922,Digital Services,Delhi,0.147
M20923,Food Delivery,Kolkata,0.183
M20924,Grocery,Chennai,0.04
M20925,Electronics,Lucknow,0.315
M20926,Travel,Delhi,0.1
M20927,Travel,Noida,0.243
M20928,Gaming,Lucknow,0.383
M20929,Utilities,Hyderabad,0.042
M20930,Food Delivery,Jaipur,0.122
M20931,Fashion,Kolkata,0.202
M20932,Electronics,Hyderabad,0.313
M20933,Grocery,Chennai,0.03
M20934,Grocery,Chennai,0.145
M20935,Fashion,Delhi,0.237
M20936,Grocery,Delhi,0.155
M20937,Fashion,Jaipur,0.105
M20938,Grocery,Mumbai,0.051
M20939,Healthcare,Kolkata,0.103
M20940,Electronics,Kanpur,0.306
M20941,Gaming,Hyderabad,0.379
M20942,Jewellery,Jaipur,0.364
M20943,Jewellery,Kanpur,0.397
M20944,Healthcare,Bengaluru,0.063
M20945,Food Delivery,Delhi,0.075
M20946,Electronics,Chennai,0.298
M20947,Fashion,Noida,0.157
M20948,Fashion,Kolkata,0.18
M20949,Food Delivery,Delhi,0.094
M20950,Fashion,Hyderabad,0.19
M20951,Grocery,Pune,0.049
M20952,Grocery,Bengaluru,0.08
M20953,Fashion,Delhi,0.11
M20954,Healthcare,Jaipur,0.113
M20955,Gaming,Kolkata,0.422
M20956,Fashion,Jaipur,0.177
M20957,Digital Services,Delhi,0.245
M20958,Gaming,Delhi,0.331
M20959,Healthcare,Mumbai,0.074
M20960,Healthcare,Kolkata,0.15
M20961,Food Delivery,Noida,0.139
M20962,Digital Services,Lucknow,0.175
M20963,Travel,Bengaluru,0.289
M20964,Utilities,Bengaluru,0.041
M20965,Electronics,Chennai,0.25
M20966,Digital Services,Mumbai,0.268
M20967,Utilities,Kolkata,0.053
M20968,Electronics,Delhi,0.381
M20969,Food Delivery,Lucknow,0.109
M20970,Grocery,Chennai,0.128
M20971,Food Delivery,Delhi,0.05
M20972,Utilities,Ahmedabad,0.052
M20973,Fashion,Jaipur,0.154
M20974,Utilities,Lucknow,0.125
M20975,Utilities,Mumbai,0.032
M20976,Digital Services,Hyderabad,0.304
M20977,Digital Services,Mumbai,0.256
M20978,Electronics,Indore,0.295
M20979,Fashion,Hyderabad,0.126
M20980,Electronics,Jaipur,0.237
M20981,Fashion,Delhi,0.062
M20982,Grocery,Delhi,0.113
M20983,Travel,Chennai,0.268
M20984,Jewellery,Pune,0.384
M20985,Utilities,Bengaluru,0.02
M20986,Food Delivery,Bengaluru,0.095
M20987,Electronics,Hyderabad,0.297
M20988,Electronics,Mumbai,0.288
M20989,Grocery,Delhi,0.13
M20990,Grocery,Jaipur,0.027
M20991,Utilities,Lucknow,0.062
M20992,Digital Services,Ahmedabad,0.245
M20993,Healthcare,Delhi,0.128
M20994,Digital Services,Delhi,0.223
M20995,Grocery,Bengaluru,0.124
M20996,Fashion,Delhi,0.117
M20997,Electronics,Mumbai,0.29
M20998,Grocery,Delhi,0.087
M20999,Electronics,Chennai,0.264
M21000,Food Delivery,Pune,0.229
M21001,Travel,Mumbai,0.225
M21002,Jewellery,Bengaluru,0.381
M21003,Grocery,Hyderabad,0.036
M21004,Gaming,Mumbai,0.385
M21005,Food Delivery,Gurugram,0.096
M21006,Utilities,Chandigarh,0.079
M21007,Travel,Mumbai,0.202
M21008,Grocery,Bengaluru,0.119
M21009,Fashion,Mumbai,0.202
M21010,Electronics,Jaipur,0.339
M21011,Fashion,Hyderabad,0.155
M21012,Electronics,Chandigarh,0.253
M21013,Food Delivery,Chennai,0.09
M21014,Digital Services,Mumbai,0.251
M21015,Grocery,Lucknow,0.111
M21016,Fashion,Jaipur,0.184
M21017,Electronics,Delhi,0.242
M21018,Grocery,Delhi,0.106
M21019,Fashion,Gurugram,0.114
M21020,Utilities,Chandigarh,0.074
M21021,Electronics,Ahmedabad,0.343
M21022,Electronics,Delhi,0.27
M21023,Digital Services,Delhi,0.21
M21024,Food Delivery,Kolkata,0.136
M21025,Electronics,Mumbai,0.32
M21026,Grocery,Delhi,0.065
M21027,Digital Services,Mumbai,0.189
M21028,Digital Services,Chennai,0.213
M21029,Gaming,Pune,0.32
M21030,Grocery,Indore,0.168
M21031,Utilities,Mumbai,0.02
M21032,Travel,Noida,0.164
M21033,Grocery,Bengaluru,0.112
M21034,Grocery,Kanpur,0.068
M21035,Grocery,Kolkata,0.055
M21036,Grocery,Bengaluru,0.129
M21037,Food Delivery,Kanpur,0.124
M21038,Utilities,Pune,0.125
M21039,Digital Services,Kolkata,0.283
M21040,Digital Services,Kanpur,0.196
M21041,Utilities,Hyderabad,0.02
M21042,Grocery,Mumbai,0.15
M21043,Travel,Mumbai,0.234
M21044,Grocery,Bengaluru,0.236
M21045,Food Delivery,Lucknow,0.164
M21046,Grocery,Gurugram,0.162
M21047,Gaming,Pune,0.298
M21048,Electronics,Pune,0.276
M21049,Gaming,Delhi,0.376
M21050,Utilities,Kanpur,0.076
M21051,Electronics,Hyderabad,0.283
M21052,Digital Services,Chennai,0.261
M21053,Electronics,Indore,0.247
M21054,Grocery,Jaipur,0.06
M21055,Food Delivery,Jaipur,0.112
M21056,Fashion,Hyderabad,0.141
M21057,Healthcare,Delhi,0.061
M21058,Food Delivery,Bengaluru,0.114
M21059,Electronics,Hyderabad,0.221
M21060,Food Delivery,Jaipur,0.154
M21061,Healthcare,Jaipur,0.127
M21062,Electronics,Noida,0.311
M21063,Grocery,Mumbai,0.062
M21064,Healthcare,Hyderabad,0.057
M21065,Healthcare,Lucknow,0.159
M21066,Healthcare,Hyderabad,0.091
M21067,Electronics,Delhi,0.306
M21068,Utilities,Jaipur,0.028
M21069,Electronics,Mumbai,0.267
M21070,Food Delivery,Bengaluru,0.174
M21071,Grocery,Kolkata,0.106
M21072,Fashion,Delhi,0.149
M21073,Jewellery,Lucknow,0.425
M21074,Grocery,Hyderabad,0.114
M21075,Grocery,Hyderabad,0.194
M21076,Food Delivery,Gurugram,0.122
M21077,Utilities,Delhi,0.109
M21078,Travel,Hyderabad,0.234
M21079,Utilities,Chennai,0.036
M21080,Digital Services,Mumbai,0.269
M21081,Gaming,Bengaluru,0.274
M21082,Travel,Chennai,0.284
M21083,Food Delivery,Noida,0.061
M21084,Fashion,Hyderabad,0.12
M21085,Grocery,Pune,0.056
M21086,Grocery,Kolkata,0.128
M21087,Travel,Delhi,0.19
M21088,Electronics,Delhi,0.303
M21089,Grocery,Chennai,0.07
M21090,Fashion,Pune,0.155
M21091,Healthcare,Bengaluru,0.076
M21092,Grocery,Mumbai,0.205
M21093,Jewellery,Ahmedabad,0.325
M21094,Grocery,Kolkata,0.122
M21095,Travel,Noida,0.24
M21096,Jewellery,Jaipur,0.365
M21097,Grocery,Ahmedabad,0.118
M21098,Food Delivery,Chennai,0.077
M21099,Utilities,Gurugram,0.032
M21100,Food Delivery,Kolkata,0.068
M21101,Grocery,Mumbai,0.104
M21102,Food Delivery,Jaipur,0.093
M21103,Grocery,Delhi,0.061
M21104,Fashion,Jaipur,0.175
M21105,Electronics,Chandigarh,0.329
M21106,Utilities,Mumbai,0.02
M21107,Utilities,Mumbai,0.095
M21108,Electronics,Jaipur,0.304
M21109,Food Delivery,Jaipur,0.177
M21110,Utilities,Kolkata,0.067
M21111,Travel,Hyderabad,0.31
M21112,Digital Services,Lucknow,0.276
M21113,Electronics,Kolkata,0.195
M21114,Grocery,Kanpur,0.114
M21115,Grocery,Bengaluru,0.099
M21116,Digital Services,Bengaluru,0.294
M21117,Food Delivery,Pune,0.173
M21118,Grocery,Kolkata,0.056
M21119,Fashion,Mumbai,0.201
M21120,Fashion,Delhi,0.154
M21121,Healthcare,Lucknow,0.068
M21122,Fashion,Pune,0.225
M21123,Grocery,Delhi,0.079
M21124,Grocery,Bengaluru,0.101
M21125,Food Delivery,Lucknow,0.117
M21126,Grocery,Delhi,0.123
M21127,Digital Services,Pune,0.309
M21128,Jewellery,Chennai,0.472
M21129,Food Delivery,Gurugram,0.161
M21130,Gaming,Ahmedabad,0.264
M21131,Electronics,Ahmedabad,0.346
M21132,Grocery,Ahmedabad,0.127
M21133,Grocery,Gurugram,0.149
M21134,Food Delivery,Delhi,0.106
M21135,Grocery,Mumbai,0.099
M21136,Gaming,Bengaluru,0.383
M21137,Gaming,Noida,0.431
M21138,Digital Services,Kolkata,0.259
M21139,Utilities,Delhi,0.024
M21140,Food Delivery,Bengaluru,0.147
M21141,Fashion,Pune,0.152
M21142,Digital Services,Delhi,0.202
M21143,Electronics,Pune,0.274
M21144,Electronics,Mumbai,0.301
M21145,Food Delivery,Ahmedabad,0.167
M21146,Digital Services,Bengaluru,0.228
M21147,Grocery,Hyderabad,0.08
M21148,Digital Services,Mumbai,0.245
M21149,Fashion,Kolkata,0.239
M21150,Food Delivery,Kolkata,0.18
M21151,Gaming,Kanpur,0.365
M21152,Food Delivery,Ahmedabad,0.144
M21153,Digital Services,Kolkata,0.236
M21154,Fashion,Hyderabad,0.195
M21155,Utilities,Mumbai,0.035
M21156,Food Delivery,Kolkata,0.142
M21157,Utilities,Mumbai,0.02
M21158,Healthcare,Kolkata,0.026
M21159,Fashion,Mumbai,0.073
M21160,Grocery,Mumbai,0.185
M21161,Utilities,Pune,0.073
M21162,Grocery,Noida,0.039
M21163,Electronics,Ahmedabad,0.39
M21164,Food Delivery,Kolkata,0.085
M21165,Electronics,Jaipur,0.304
M21166,Healthcare,Hyderabad,0.065
M21167,Electronics,Ahmedabad,0.316
M21168,Fashion,Chennai,0.159
M21169,Utilities,Gurugram,0.046
M21170,Grocery,Ahmedabad,0.04
M21171,Gaming,Bengaluru,0.308
M21172,Grocery,Bengaluru,0.055
M21173,Gaming,Kolkata,0.261
M21174,Fashion,Hyderabad,0.193
M21175,Utilities,Delhi,0.13
M21176,Grocery,Pune,0.069
M21177,Jewellery,Pune,0.306
M21178,Fashion,Mumbai,0.176
M21179,Fashion,Hyderabad,0.167
M21180,Grocery,Ahmedabad,0.055
M21181,Grocery,Delhi,0.097
M21182,Grocery,Lucknow,0.02
M21183,Grocery,Pune,0.1
M21184,Food Delivery,Hyderabad,0.113
M21185,Utilities,Chandigarh,0.14
M21186,Grocery,Kolkata,0.111
M21187,Grocery,Noida,0.104
M21188,Grocery,Chandigarh,0.188
M21189,Travel,Hyderabad,0.204
M21190,Electronics,Bengaluru,0.213
M21191,Grocery,Kanpur,0.141
M21192,Fashion,Mumbai,0.207
M21193,Food Delivery,Hyderabad,0.168
M21194,Grocery,Kolkata,0.09
M21195,Utilities,Jaipur,0.048
M21196,Food Delivery,Kolkata,0.064
M21197,Utilities,Mumbai,0.04
M21198,Fashion,Kolkata,0.092
M21199,Fashion,Kolkata,0.14
M21200,Digital Services,Mumbai,0.325
M21201,Food Delivery,Bengaluru,0.095
M21202,Grocery,Hyderabad,0.106
M21203,Gaming,Pune,0.365
M21204,Utilities,Kolkata,0.064
M21205,Digital Services,Chennai,0.233
M21206,Food Delivery,Chandigarh,0.178
M21207,Food Delivery,Kolkata,0.128
M21208,Fashion,Delhi,0.211
M21209,Food Delivery,Ahmedabad,0.227
M21210,Grocery,Delhi,0.061
M21211,Healthcare,Delhi,0.093
M21212,Gaming,Pune,0.332
M21213,Gaming,Chennai,0.318
M21214,Gaming,Gurugram,0.321
M21215,Electronics,Pune,0.343
M21216,Grocery,Chennai,0.104
M21217,Food Delivery,Mumbai,0.232
M21218,Food Delivery,Kanpur,0.102
M21219,Healthcare,Bengaluru,0.168
M21220,Gaming,Hyderabad,0.419
M21221,Fashion,Chennai,0.156
M21222,Food Delivery,Indore,0.14
M21223,Food Delivery,Bengaluru,0.16
M21224,Gaming,Kolkata,0.315
M21225,Utilities,Ahmedabad,0.155
M21226,Food Delivery,Mumbai,0.083
M21227,Healthcare,Hyderabad,0.077
M21228,Fashion,Mumbai,0.137
M21229,Utilities,Delhi,0.09
M21230,Grocery,Mumbai,0.115
M21231,Healthcare,Delhi,0.071
M21232,Fashion,Kolkata,0.155
M21233,Gaming,Delhi,0.29
M21234,Gaming,Hyderabad,0.392
M21235,Fashion,Pune,0.191
M21236,Electronics,Delhi,0.264
M21237,Utilities,Bengaluru,0.071
M21238,Fashion,Pune,0.13
M21239,Fashion,Kolkata,0.118
M21240,Food Delivery,Chennai,0.071
M21241,Gaming,Bengaluru,0.298
M21242,Grocery,Lucknow,0.143
M21243,Travel,Lucknow,0.287
M21244,Healthcare,Bengaluru,0.038
M21245,Fashion,Ahmedabad,0.191
M21246,Fashion,Pune,0.105
M21247,Food Delivery,Mumbai,0.154
M21248,Electronics,Mumbai,0.284
M21249,Digital Services,Mumbai,0.227
M21250,Electronics,Delhi,0.3
M21251,Gaming,Mumbai,0.401
M21252,Gaming,Mumbai,0.256
M21253,Gaming,Hyderabad,0.391
M21254,Healthcare,Ahmedabad,0.064
M21255,Food Delivery,Hyderabad,0.184
M21256,Jewellery,Chennai,0.439
M21257,Food Delivery,Bengaluru,0.07
M21258,Digital Services,Kolkata,0.224
M21259,Grocery,Bengaluru,0.122
M21260,Healthcare,Bengaluru,0.143
M21261,Food Delivery,Gurugram,0.141
M21262,Jewellery,Hyderabad,0.418
M21263,Fashion,Hyderabad,0.131
M21264,Gaming,Mumbai,0.342
M21265,Food Delivery,Noida,0.117
M21266,Utilities,Bengaluru,0.02
M21267,Gaming,Kolkata,0.355
M21268,Jewellery,Kolkata,0.383
M21269,Fashion,Kanpur,0.222
M21270,Food Delivery,Kanpur,0.173
M21271,Healthcare,Delhi,0.108
M21272,Food Delivery,Mumbai,0.17
M21273,Fashion,Kanpur,0.188
M21274,Travel,Bengaluru,0.239
M21275,Utilities,Lucknow,0.02
M21276,Digital Services,Hyderabad,0.243
M21277,Electronics,Bengaluru,0.265
M21278,Electronics,Delhi,0.275
M21279,Electronics,Indore,0.27
M21280,Electronics,Mumbai,0.33
M21281,Grocery,Chennai,0.155
M21282,Utilities,Ahmedabad,0.058
M21283,Fashion,Hyderabad,0.1
M21284,Fashion,Bengaluru,0.116
M21285,Healthcare,Delhi,0.156
M21286,Digital Services,Delhi,0.293
M21287,Food Delivery,Gurugram,0.069
M21288,Grocery,Hyderabad,0.034
M21289,Travel,Mumbai,0.213
M21290,Digital Services,Hyderabad,0.331
M21291,Jewellery,Pune,0.419
M21292,Fashion,Pune,0.149
M21293,Digital Services,Mumbai,0.244
M21294,Fashion,Bengaluru,0.075
M21295,Utilities,Ahmedabad,0.067
M21296,Digital Services,Chandigarh,0.306
M21297,Grocery,Chennai,0.082
M21298,Electronics,Mumbai,0.269
M21299,Food Delivery,Kanpur,0.135
M21300,Fashion,Hyderabad,0.109
M21301,Digital Services,Ahmedabad,0.265
M21302,Fashion,Delhi,0.123
M21303,Healthcare,Kanpur,0.078
M21304,Electronics,Bengaluru,0.263
M21305,Digital Services,Kolkata,0.233
M21306,Utilities,Hyderabad,0.085
M21307,Grocery,Bengaluru,0.097
M21308,Grocery,Delhi,0.092
M21309,Grocery,Lucknow,0.105
M21310,Food Delivery,Hyderabad,0.079
M21311,Healthcare,Hyderabad,0.02
M21312,Utilities,Mumbai,0.08
M21313,Food Delivery,Delhi,0.089
M21314,Food Delivery,Bengaluru,0.14
M21315,Digital Services,Mumbai,0.225
M21316,Travel,Pune,0.155
M21317,Utilities,Delhi,0.075
M21318,Grocery,Ahmedabad,0.147
M21319,Grocery,Kolkata,0.114
M21320,Grocery,Hyderabad,0.036
M21321,Digital Services,Delhi,0.222
M21322,Utilities,Jaipur,0.058
M21323,Digital Services,Chandigarh,0.242
M21324,Fashion,Ahmedabad,0.134
M21325,Grocery,Ahmedabad,0.021
M21326,Grocery,Delhi,0.094
M21327,Travel,Hyderabad,0.304
M21328,Digital Services,Mumbai,0.221
M21329,Grocery,Mumbai,0.044
M21330,Digital Services,Hyderabad,0.314
M21331,Electronics,Delhi,0.366
M21332,Grocery,Kolkata,0.082
M21333,Grocery,Gurugram,0.111
M21334,Grocery,Hyderabad,0.11
M21335,Gaming,Mumbai,0.38
M21336,Digital Services,Delhi,0.2
M21337,Digital Services,Hyderabad,0.249
M21338,Grocery,Hyderabad,0.051
M21339,Food Delivery,Chennai,0.136
M21340,Travel,Noida,0.308
M21341,Electronics,Noida,0.295
M21342,Food Delivery,Kolkata,0.082
M21343,Electronics,Delhi,0.325
M21344,Electronics,Delhi,0.253
M21345,Digital Services,Bengaluru,0.271
M21346,Utilities,Ahmedabad,0.045
M21347,Utilities,Lucknow,0.02
M21348,Food Delivery,Kolkata,0.086
M21349,Fashion,Lucknow,0.038
M21350,Fashion,Delhi,0.111
M21351,Grocery,Kolkata,0.196
M21352,Digital Services,Bengaluru,0.123
M21353,Gaming,Kolkata,0.269
M21354,Travel,Mumbai,0.318
M21355,Food Delivery,Pune,0.077
M21356,Digital Services,Kanpur,0.232
M21357,Electronics,Bengaluru,0.279
M21358,Healthcare,Kanpur,0.026
M21359,Grocery,Mumbai,0.147
M21360,Grocery,Kolkata,0.095
M21361,Digital Services,Hyderabad,0.221
M21362,Grocery,Mumbai,0.142
M21363,Gaming,Kolkata,0.28
M21364,Travel,Delhi,0.242
M21365,Fashion,Chennai,0.114
M21366,Digital Services,Delhi,0.193
M21367,Fashion,Mumbai,0.25
M21368,Grocery,Mumbai,0.106
M21369,Electronics,Pune,0.323
M21370,Digital Services,Delhi,0.227
M21371,Digital Services,Bengaluru,0.204
M21372,Electronics,Delhi,0.14
M21373,Food Delivery,Mumbai,0.106
M21374,Food Delivery,Mumbai,0.045
M21375,Digital Services,Chennai,0.254
M21376,Food Delivery,Jaipur,0.062
M21377,Healthcare,Mumbai,0.121
M21378,Grocery,Delhi,0.193
M21379,Travel,Kanpur,0.367
M21380,Utilities,Noida,0.094
M21381,Grocery,Indore,0.099
M21382,Travel,Pune,0.208
M21383,Digital Services,Mumbai,0.215
M21384,Utilities,Mumbai,0.039
M21385,Grocery,Delhi,0.167
M21386,Travel,Bengaluru,0.222
M21387,Travel,Bengaluru,0.337
M21388,Grocery,Delhi,0.058
M21389,Fashion,Delhi,0.154
M21390,Electronics,Gurugram,0.223
M21391,Digital Services,Mumbai,0.274
M21392,Travel,Mumbai,0.231
M21393,Grocery,Mumbai,0.098
M21394,Travel,Pune,0.226
M21395,Grocery,Delhi,0.125
M21396,Healthcare,Chennai,0.13
M21397,Food Delivery,Hyderabad,0.157
M21398,Food Delivery,Noida,0.078
M21399,Utilities,Delhi,0.094
M21400,Fashion,Bengaluru,0.138
M21401,Fashion,Kolkata,0.22
M21402,Grocery,Chennai,0.111
M21403,Electronics,Pune,0.294
M21404,Grocery,Hyderabad,0.088
M21405,Grocery,Lucknow,0.063
M21406,Gaming,Mumbai,0.343
M21407,Electronics,Gurugram,0.335
M21408,Grocery,Delhi,0.065
M21409,Electronics,Delhi,0.339
M21410,Fashion,Delhi,0.186
M21411,Grocery,Ahmedabad,0.02
M21412,Electronics,Pune,0.239
M21413,Digital Services,Mumbai,0.353
M21414,Grocery,Kanpur,0.095
M21415,Food Delivery,Chandigarh,0.079
M21416,Utilities,Chennai,0.041
M21417,Digital Services,Mumbai,0.244
M21418,Fashion,Chennai,0.201
M21419,Fashion,Pune,0.145
M21420,Fashion,Delhi,0.125
M21421,Food Delivery,Mumbai,0.02
M21422,Travel,Chennai,0.199
M21423,Fashion,Kanpur,0.129
M21424,Digital Services,Delhi,0.264
M21425,Fashion,Bengaluru,0.178
M21426,Electronics,Noida,0.345
M21427,Digital Services,Pune,0.196
M21428,Food Delivery,Pune,0.126
M21429,Healthcare,Bengaluru,0.107
M21430,Fashion,Indore,0.115
M21431,Electronics,Kolkata,0.321
M21432,Electronics,Mumbai,0.357
M21433,Utilities,Mumbai,0.081
M21434,Digital Services,Pune,0.229
M21435,Digital Services,Bengaluru,0.317
M21436,Gaming,Mumbai,0.36
M21437,Utilities,Ahmedabad,0.025
M21438,Electronics,Kanpur,0.271
M21439,Fashion,Hyderabad,0.144
M21440,Grocery,Bengaluru,0.062
M21441,Food Delivery,Mumbai,0.084
M21442,Digital Services,Kolkata,0.22
M21443,Gaming,Mumbai,0.376
M21444,Travel,Kolkata,0.227
M21445,Fashion,Indore,0.164
M21446,Travel,Hyderabad,0.284
M21447,Fashion,Ahmedabad,0.147
